Reporting org id,Reporting org name
#org+id+reporting,#org+name+reporting
es-cif-g81164105,ACTION AGAINST HUNGER SPAIN
xm-dac-50-21,AECID Spanish Agency for International Development Cooperation
fr-3,AFD
xm-dac-6-4,AICS - Italian Agency for Cooperation and Development
nl-kvk-58076573,AUXFIN International B.V.
ss-rrc-140,AVSI Foundation - South Sudan
gb-chc-1047501,Action Against Hunger
gb-chc-274467,ActionAid UK
xm-dac-46002,African Development Bank
us-gov-13,African Development Foundation
et-mfa-150317,African Disability Forum (ADF)
xm-dac-46004,Asian Development Bank
gb-chc-1115482,BRAC UK
xm-dac-46021,Banque Ouest Africaine de Développement
be-bce_kbo-0264814354,Belgian development agency (Enabel)
dac-1601,Bill and Melinda Gates Foundation
gb-chc-220949,British Red Cross
id-djp-023047012526000,Business Watch Indonesia
gb-chc-285776,CAFOD
gb-chc-292506,CARE International UK
nl-kvk-41158230,CARE Nederland
za-npo-053-456,Centre for Economic Governance and Accountability in Africa
gb-chc-1105851,Christian Aid
ie-chy-6998,Christian Aid Ireland
gb-coh-02863827,ClientEarth
nl-kvk-41160054,Cordaid
ch-fdjp-109458452,DCAF - Geneva Centre for Security Sector Governance
gb-gov-7,"Department for Environment, Food, and Rural Affairs"
us-gov-2,Department of Agriculture
us-gov-16,Department of Commerce
us-gov-7,Department of Defense
us-gov-20,Department of Energy
us-gov-14,Department of Health and Human Services
us-gov-15,Department of Justice
us-gov-17,Department of Labor
us-gov-11,Department of State
us-gov-9,Department of the Interior
us-gov-6,Department of the Treasury
nl-kvk-41077447,ECDPM
us-gov-32,Environmental Protection Agency
gb-chc-802353,Ethiopiaid
xi-iati-ebrd,European Bank for Reconstruction and Development
xi-iati-ec_intpa,European Commission - International Partnerships
xi-iati-ec_near,European Commission - Neighbourhood and Enlargement Negotiations
xi-iati-ec_fpi,European Commission – Service for Foreign Policy Instruments
ke-rco-155081,FSD Africa
nl-kvk-34141098,Fairfood International
de-1,Federal Ministry for Economic Cooperation and Development (BMZ)
xm-dac-41301,Food and Agriculture Organization (FAO)
ca-3,"Foreign Affairs, Trade and Development Canada (DFATD)"
us-ein-37-1552838,GSMA Foundation
47122,"Gavi, The Vaccine Alliance"
xm-dac-5-7,Germany - Federal Foreign Office
xi-bridge-6385676864,Global Environment Facility
xm-dac-47136,Global Green Growth Institute
gb-chc-1171353,Global Innovation Fund
mz-nuit-700061787,Gorongosa Restoration Project
sg-acra-201507403g,Grow Asia
nl-kvk-27290536,Hague Institute for the Innovation of Law
dk-cvr-42047007,ICARS
nl-kvk-53521129,"IDH, the Sustainable Trade Initiative"
ch-fdjp-66029860165,INTERNATIONAL DISABILITY ALLIANCE
gb-coh-04465125,"Imperial College of Science, Technology and Medicine"
xi-iati-iadb,Inter-American Development Bank
us-gov-21,Inter-American Foundation
xm-dac-47059,International Development Law Organization (IDLO)
xm-dac-41108,International Fund for Agricultural Development
gb-chc-328158,Islamic Relief Worldwide
gb-coh-oc301540,KPMG LLP
xm-ocha-hpc6770,King Salman Humanitarian Aid and Relief Centre
xm-ochas-hpc6770,King Salman Humanitarian Aid and Relief Centre
gb-coh-sc100833,LTS International Limited
fr-6,MAEDI
gb-sc-sc030289,MERCY CORPS EUROPE
xm-dac-701-2,MINISTRY OF FOREIGN AFFAIRS IN JAPAN
gb-chc-1099776,Malaria Consortium
gb-sc-sco45223,Mary's Meals
nl-kvk-34219433,Max Foundation
us-gov-18,Millennium Challenge Corporation
fi-3,Ministry for Foreign Affairs of Finland
xm-dac-7,Ministry of Foreign Affairs of the Netherlands
xm-dac-3-1,"Ministry of Foreign Affairs, Denmark"
xm-dac-69-1,Ministry of Foreign and European Affairs of the Slovak Republic
dk-cvr-14723692,Mission East
gb-coh-oc350651,Montrose International LLP
nl-kvk-27078545,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V. (FMO)
nz-1,New Zealand Ministry of Foreign Affairs and Trade
nl-kvk-41150085,Nuffic
dk-cvr-88136411,Oxfam IBIS
nl-kvk-27108436,Oxfam Novib
gb-chc-1112734,PHASE Worldwide
us-gov-10,Peace Corps
dk-cvr-20356731,Plan International Denmark
us-ein-030358029,Population Media Center
gb-coh-871954,Practical Action
gb-chc-1076822,Save The Children International
gb-coh-213890,Save The Children UK
nl-kvk-41201463,Save the Children Netherlands
nl-kvk-41022454,Stichting Red een Kind
se-0,Sweden
sn-ninea-500116143v0,TRUSTAFRICA
us-ein-941191246,The Asia Foundation
ch-fdjp-che-110347351,The Global Alliance for Improved Nutrition
ca-cra_acr-127202349,The International Institute for Sustainable Development
us-gov-12,Trade and Development Agency
nl-kvk-77583442,Transition International
gb-coh-ni21482,Trocaire (Northern Ireland)}
gb-gov-1,"UK - Foreign, Commonwealth Development Office (FCDO)"
xm-dac-41116,UN Environment Programme
xm-dac-41122,UNICEF
xm-dac-30010,Unitaid
xm-dac-41114,United Nations Development Programme
41aaa,United Nations Office for Project Services
xm-dac-41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East
us-gov-1,United States Agency for International Development (USAID)
gb-ukprn-10007790,University of Edinburgh
gb-chc-1081247,WWF-UK
44000,World Bank
xi-iati-wbtf,World Bank Trust Funds (WBTF)
xm-dac-41140,World Food Programme
xm-dac-928,World Health Organization
us-ein-23-6393344,World Relief Corp. of National Association of Evangelicals
nl-kvk-41179943,World Vision Netherlands
np-cro-45995-063-064,YoungInnovations Pvt. Ltd.
nl-kvk-41009723,ZOA
